,retorno,rentabilidade,empresa,tag,tipo,retabilidade_ano,prazo,distribuidor,emissor
91,5.252,108.74,BRK Financeira CDI + 0.95% por Nova Futura Investimentos,FGC,CDB,10.54% a.a.,16/04/2023,Nova Futura Investimentos,BRK Financeira
92,5.252,104.04,BMG CDI + 0.44% por Órama,FGC,CDB,10.09% a.a.,24/04/2023,Órama,BMG
93,5.251,13.19,BMG Prefixado 13.19% por modalmais,FGC,CDB,10.48% a.a.,16/04/2023,modalmais,BMG
94,5.251,108.00,BRK Financeira 108% CDI por Nova Futura Investimentos,FGC,CDB,10.46% a.a.,16/04/2023,Nova Futura Investimentos,BRK Financeira
95,5.250,107.00,BRK Financeira 107% CDI por Órama,FGC,CDB,10.37% a.a.,17/04/2023,Órama,BRK Financeira
96,5.250,106.00,Banco Master 106% CDI por Guide Investimentos,FGC,CDB,10.27% a.a.,18/04/2023,Guide Investimentos,Banco Master
97,5.250,104.00,Omni Banco 104% CDI por BTG Pactual,FGC,CDB,10.08% a.a.,20/04/2023,BTG Pactual,Omni Banco
98,5.250,104.00,RNX 104% CDI por Órama,FGC,CDB,10.08% a.a.,20/04/2023,Órama,RNX
99,5.248,107.00,Maxinvest 107% CDI por Daycoval,FGC,CDB,10.37% a.a.,16/04/2023,Daycoval,Maxinvest
100,5.248,106.00,BRK Financeira 106% CDI por Nova Futura Investimentos,FGC,CDB,10.27% a.a.,17/04/2023,Nova Futura Investimentos,BRK Financeira
101,5.247,103.00,Mercado Livre 103% CDI por Órama,FGC,CDB,9.98% a.a.,20/04/2023,Órama,Mercado Livre
102,5.247,105.51,ABC 105.51% CDI por ABC Personal,FGC,CDB,10.23% a.a.,17/04/2023,ABC Personal,ABC
103,5.247,102.00,C6 Bank 102% CDI por Órama,FGC,CDB,9.89% a.a.,24/04/2023,Órama,C6 Bank
104,5.246,105.00,Bari 105% CDI por Bari,FGC,CDB,10.18% a.a.,17/04/2023,Bari,Bari
105,5.246,105.00,Paraná Banco 105% CDI por Paraná Banco,FGC,CDB,10.18% a.a.,17/04/2023,Paraná Banco,Paraná Banco
106,5.246,105.00,PagBank 105% CDI por Nu invest,FGC,CDB,10.18% a.a.,17/04/2023,Nu invest,PagBank
107,5.246,105.00,PagBank 105% CDI por Ágora Investimentos,FGC,CDB,10.18% a.a.,17/04/2023,Ágora Investimentos,PagBank
108,5.246,105.00,PagBank 105% CDI por Nu invest,FGC,CDB,10.18% a.a.,17/04/2023,Nu invest,PagBank
109,5.245,101.38,Banco Master CDI + 0.15% por Órama,FGC,CDB,9.83% a.a.,24/04/2023,Órama,Banco Master
